model,case_id,weights,first_success_k,recovered_within_top12,evidence
Qwen3-4B,math_ctx8192_d10_s0,1_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s0,1_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s0,1_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s0,1_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s0,1_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s1,1_1_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s0,1_1_0p5,3,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s0,1_1_0p5,3,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s0,1_1_0p5,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s1,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s0,1_1_0p5,1,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s0,1_1_0p5,3,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s0,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s1,1_1_0p5,2,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s0,1_0p5_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s0,1_0p5_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s0,1_0p5_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s1,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s0,1_0p5_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s0,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s1,1_0p5_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx4096_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx6144_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,code_ctx8192_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx4096_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx6144_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,literature_ctx8192_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx4096_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx6144_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s0,0p5_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d10_s1,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s0,0p5_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d50_s1,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s0,0p5_1_1,3,1,direct_gpu_output
Qwen3-4B,math_ctx8192_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx4096_d90_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d10_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d50_s1,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx6144_d90_s1,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s0,0p5_1_1,1,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d10_s1,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d50_s1,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s0,0p5_1_1,2,1,direct_gpu_output
Qwen3-4B,science_ctx8192_d90_s1,0p5_1_1,2,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx4096_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx6144_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,code_ctx8192_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d10_s1,1_1_1,3,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d50_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx4096_d90_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d10_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d10_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d50_s0,1_1_1,2,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d50_s1,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d90_s0,1_1_1,1,1,direct_gpu_output
Qwen2.5-3B,literature_ctx6144_d90_s1,1_1_1,1,1,direct_gpu_output
