model,case_id,domain,context_length,depth,seed,stage,case_type,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,found,completed,status
Gemma2-9B,math_ctx4096_d90_s1,math,4096,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s1,math,4096,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s1,math,4096,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s1,math,4096,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx6144_d10_s0,math,6144,10,0,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s0,math,6144,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s0,math,6144,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s0,math,6144,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s0,math,6144,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s1,math,6144,10,1,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s1,math,6144,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s1,math,6144,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s1,math,6144,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d10_s1,math,6144,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s0,math,6144,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s0,math,6144,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s0,math,6144,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s0,math,6144,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s0,math,6144,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s1,math,6144,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s1,math,6144,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s1,math,6144,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s1,math,6144,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d50_s1,math,6144,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s0,math,6144,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s0,math,6144,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d90_s0,math,6144,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s0,math,6144,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s0,math,6144,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s1,math,6144,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s1,math,6144,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx6144_d90_s1,math,6144,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s1,math,6144,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx6144_d90_s1,math,6144,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx8192_d10_s0,math,8192,10,0,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s0,math,8192,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s0,math,8192,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s0,math,8192,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s0,math,8192,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s1,math,8192,10,1,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s1,math,8192,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s1,math,8192,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s1,math,8192,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d10_s1,math,8192,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,math_ctx8192_d50_s0,math,8192,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s0,math,8192,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s0,math,8192,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s0,math,8192,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s0,math,8192,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s1,math,8192,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s1,math,8192,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s1,math,8192,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s1,math,8192,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d50_s1,math,8192,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s0,math,8192,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s0,math,8192,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d90_s0,math,8192,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s0,math,8192,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s0,math,8192,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s1,math,8192,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx8192_d90_s1,math,8192,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d90_s1,math,8192,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d90_s1,math,8192,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,math_ctx8192_d90_s1,math,8192,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,literature_ctx4096_d10_s0,literature,4096,10,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s0,literature,4096,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s0,literature,4096,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s0,literature,4096,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s0,literature,4096,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s1,literature,4096,10,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s1,literature,4096,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s1,literature,4096,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s1,literature,4096,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d10_s1,literature,4096,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s0,literature,4096,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s0,literature,4096,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s0,literature,4096,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s0,literature,4096,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s0,literature,4096,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s1,literature,4096,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s1,literature,4096,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s1,literature,4096,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s1,literature,4096,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d50_s1,literature,4096,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s0,literature,4096,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s0,literature,4096,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s0,literature,4096,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s0,literature,4096,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s0,literature,4096,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s1,literature,4096,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s1,literature,4096,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s1,literature,4096,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s1,literature,4096,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx4096_d90_s1,literature,4096,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s0,literature,6144,10,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s0,literature,6144,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx6144_d10_s0,literature,6144,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s0,literature,6144,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s0,literature,6144,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s1,literature,6144,10,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s1,literature,6144,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx6144_d10_s1,literature,6144,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,literature_ctx6144_d10_s1,literature,6144,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d10_s1,literature,6144,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,literature_ctx6144_d50_s0,literature,6144,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s0,literature,6144,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s0,literature,6144,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s0,literature,6144,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s0,literature,6144,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s1,literature,6144,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s1,literature,6144,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s1,literature,6144,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s1,literature,6144,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d50_s1,literature,6144,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s0,literature,6144,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s0,literature,6144,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s0,literature,6144,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s0,literature,6144,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s0,literature,6144,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s1,literature,6144,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s1,literature,6144,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx6144_d90_s1,literature,6144,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s1,literature,6144,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx6144_d90_s1,literature,6144,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d10_s0,literature,8192,10,0,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s0,literature,8192,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s0,literature,8192,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s0,literature,8192,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s0,literature,8192,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s1,literature,8192,10,1,discovery,,FP16 baseline,fp16,,,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s1,literature,8192,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s1,literature,8192,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s1,literature,8192,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d10_s1,literature,8192,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d50_s0,literature,8192,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s0,literature,8192,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s0,literature,8192,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s0,literature,8192,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s0,literature,8192,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s1,literature,8192,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s1,literature,8192,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d50_s1,literature,8192,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s1,literature,8192,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d50_s1,literature,8192,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s0,literature,8192,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s0,literature,8192,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d90_s0,literature,8192,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s0,literature,8192,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s0,literature,8192,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s1,literature,8192,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s1,literature,8192,90,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d90_s1,literature,8192,90,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],False,True,ok
Gemma2-9B,literature_ctx8192_d90_s1,literature,8192,90,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,literature_ctx8192_d90_s1,literature,8192,90,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],False,True,ok
Gemma2-9B,science_ctx4096_d10_s0,science,4096,10,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s0,science,4096,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s0,science,4096,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s0,science,4096,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s0,science,4096,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s1,science,4096,10,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s1,science,4096,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s1,science,4096,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s1,science,4096,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d10_s1,science,4096,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s0,science,4096,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s0,science,4096,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s0,science,4096,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s0,science,4096,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s0,science,4096,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s1,science,4096,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s1,science,4096,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s1,science,4096,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s1,science,4096,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d50_s1,science,4096,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,science_ctx4096_d90_s0,science,4096,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,science_ctx4096_d90_s0,science,4096,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,science_ctx4096_d90_s0,science,4096,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
