model,case_id,domain,context_length,needle_depth,seed,answer,case_type,aggressive_key_bits,first_success_k,top_recovered,random0,random1,random2,bottom,completed
Qwen3-4B,code_ctx8192_d90_s1,code,8192,90,1,NEBULA-3186,K2-sensitive,2,2,1,0,0,0,0,1
Qwen3-4B,science_ctx4096_d10_s0,science,4096,10,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx4096_d10_s1,science,4096,10,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx4096_d50_s0,science,4096,50,0,AURORA-7749,K4-sensitive,4,1,1,1,1,1,1,1
Qwen3-4B,science_ctx4096_d50_s1,science,4096,50,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx4096_d90_s0,science,4096,90,0,AURORA-7749,K4-sensitive,4,1,1,1,1,1,1,1
Qwen3-4B,science_ctx4096_d90_s1,science,4096,90,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d10_s0,science,6144,10,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d10_s1,science,6144,10,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d50_s0,science,6144,50,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d50_s1,science,6144,50,1,NEBULA-3186,K2-sensitive,2,2,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d90_s0,science,6144,90,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx6144_d90_s1,science,6144,90,1,NEBULA-3186,K2-sensitive,2,2,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d10_s0,science,8192,10,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d10_s1,science,8192,10,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d50_s0,science,8192,50,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d50_s1,science,8192,50,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d90_s0,science,8192,90,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen3-4B,science_ctx8192_d90_s1,science,8192,90,1,NEBULA-3186,K2-sensitive,2,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d10_s0,code,4096,10,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d10_s1,code,4096,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d50_s0,code,4096,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d50_s1,code,4096,50,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d90_s0,code,4096,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx4096_d90_s1,code,4096,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d10_s0,code,6144,10,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d10_s1,code,6144,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d50_s0,code,6144,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d50_s1,code,6144,50,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d90_s0,code,6144,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx6144_d90_s1,code,6144,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d10_s0,code,8192,10,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d10_s1,code,8192,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d50_s0,code,8192,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d50_s1,code,8192,50,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d90_s0,code,8192,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,code_ctx8192_d90_s1,code,8192,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d10_s0,science,4096,10,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d10_s1,science,4096,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d50_s0,science,4096,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d50_s1,science,4096,50,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d90_s0,science,4096,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx4096_d90_s1,science,4096,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d10_s0,science,6144,10,0,AURORA-7749,K2-sensitive,2,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d10_s1,science,6144,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d50_s0,science,6144,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d50_s1,science,6144,50,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d90_s0,science,6144,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx6144_d90_s1,science,6144,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx8192_d10_s0,science,8192,10,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx8192_d10_s1,science,8192,10,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,1,0,1
Qwen2.5-3B,science_ctx8192_d50_s0,science,8192,50,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx8192_d50_s1,science,8192,50,1,NEBULA-3186,K2-sensitive,2,8,1,0,0,0,0,1
Qwen2.5-3B,science_ctx8192_d90_s0,science,8192,90,0,AURORA-7749,K4-sensitive,4,1,1,0,0,0,0,1
Qwen2.5-3B,science_ctx8192_d90_s1,science,8192,90,1,NEBULA-3186,K4-sensitive,4,1,1,0,0,0,0,1

